漢字,区分
王,常用漢字の通用字体
凹,常用漢字の通用字体
央,常用漢字の通用字体
応,常用漢字の通用字体
往,常用漢字の通用字体
押,常用漢字の通用字体
旺,常用漢字の通用字体
欧,常用漢字の通用字体
殴,常用漢字の通用字体
桜,常用漢字の通用字体
翁,常用漢字の通用字体
奥,常用漢字の通用字体
横,常用漢字の通用字体
岡,常用漢字の通用字体
屋,常用漢字の通用字体
億,常用漢字の通用字体
憶,常用漢字の通用字体
臆,常用漢字の通用字体
虞,常用漢字の通用字体
乙,常用漢字の通用字体
俺,常用漢字の通用字体
卸,常用漢字の通用字体
音,常用漢字の通用字体
恩,常用漢字の通用字体
温,常用漢字の通用字体
穏,常用漢字の通用字体
下,常用漢字の通用字体
化,常用漢字の通用字体
火,常用漢字の通用字体
加,常用漢字の通用字体
可,常用漢字の通用字体
仮,常用漢字の通用字体
何,常用漢字の通用字体
花,常用漢字の通用字体
佳,常用漢字の通用字体
価,常用漢字の通用字体
果,常用漢字の通用字体
河,常用漢字の通用字体
苛,常用漢字の通用字体
科,常用漢字の通用字体
架,常用漢字の通用字体
夏,常用漢字の通用字体
家,常用漢字の通用字体
荷,常用漢字の通用字体
華,常用漢字の通用字体
菓,常用漢字の通用字体
貨,常用漢字の通用字体
渦,常用漢字の通用字体
過,常用漢字の通用字体
嫁,常用漢字の通用字体
暇,常用漢字の通用字体
禍,常用漢字の通用字体
靴,常用漢字の通用字体
寡,常用漢字の通用字体
歌,常用漢字の通用字体
箇,常用漢字の通用字体
稼,常用漢字の通用字体
課,常用漢字の通用字体
蚊,常用漢字の通用字体
牙,常用漢字の通用字体
瓦,常用漢字の通用字体
我,常用漢字の通用字体
画,常用漢字の通用字体
芽,常用漢字の通用字体
賀,常用漢字の通用字体
雅,常用漢字の通用字体
餓,常用漢字の通用字体
介,常用漢字の通用字体
回,常用漢字の通用字体
灰,常用漢字の通用字体
会,常用漢字の通用字体
快,常用漢字の通用字体
戒,常用漢字の通用字体
改,常用漢字の通用字体
怪,常用漢字の通用字体
拐,常用漢字の通用字体
悔,常用漢字の通用字体
海,常用漢字の通用字体
界,常用漢字の通用字体
皆,常用漢字の通用字体
械,常用漢字の通用字体
絵,常用漢字の通用字体
開,常用漢字の通用字体
階,常用漢字の通用字体
塊,常用漢字の通用字体
楷,常用漢字の通用字体
解,常用漢字の通用字体
潰,常用漢字の通用字体
壊,常用漢字の通用字体
懐,常用漢字の通用字体
諧,常用漢字の通用字体
貝,常用漢字の通用字体
外,常用漢字の通用字体
劾,常用漢字の通用字体
害,常用漢字の通用字体
崖,常用漢字の通用字体
涯,常用漢字の通用字体
街,常用漢字の通用字体
慨,常用漢字の通用字体
蓋,常用漢字の通用字体
該,常用漢字の通用字体
概,常用漢字の通用字体
骸,常用漢字の通用字体
垣,常用漢字の通用字体
柿,常用漢字の通用字体
各,常用漢字の通用字体
角,常用漢字の通用字体
拡,常用漢字の通用字体
革,常用漢字の通用字体
格,常用漢字の通用字体
核,常用漢字の通用字体
殻,常用漢字の通用字体
郭,常用漢字の通用字体
覚,常用漢字の通用字体
較,常用漢字の通用字体
隔,常用漢字の通用字体
閣,常用漢字の通用字体
確,常用漢字の通用字体
獲,常用漢字の通用字体
嚇,常用漢字の通用字体
穫,常用漢字の通用字体
学,常用漢字の通用字体
岳,常用漢字の通用字体
楽,常用漢字の通用字体
額,常用漢字の通用字体
顎,常用漢字の通用字体
掛,常用漢字の通用字体
潟,常用漢字の通用字体
括,常用漢字の通用字体
活,常用漢字の通用字体
喝,常用漢字の通用字体
渇,常用漢字の通用字体
割,常用漢字の通用字体
葛,常用漢字の通用字体
滑,常用漢字の通用字体
褐,常用漢字の通用字体
轄,常用漢字の通用字体
且,常用漢字の通用字体
株,常用漢字の通用字体
釜,常用漢字の通用字体
鎌,常用漢字の通用字体
刈,常用漢字の通用字体
干,常用漢字の通用字体
刊,常用漢字の通用字体
甘,常用漢字の通用字体
汗,常用漢字の通用字体
缶,常用漢字の通用字体
完,常用漢字の通用字体
肝,常用漢字の通用字体
官,常用漢字の通用字体
冠,常用漢字の通用字体
巻,常用漢字の通用字体
看,常用漢字の通用字体
陥,常用漢字の通用字体
乾,常用漢字の通用字体
勘,常用漢字の通用字体
患,常用漢字の通用字体
貫,常用漢字の通用字体
寒,常用漢字の通用字体
喚,常用漢字の通用字体
堪,常用漢字の通用字体
換,常用漢字の通用字体
敢,常用漢字の通用字体
棺,常用漢字の通用字体
款,常用漢字の通用字体
間,常用漢字の通用字体
閑,常用漢字の通用字体
勧,常用漢字の通用字体
寛,常用漢字の通用字体
幹,常用漢字の通用字体
感,常用漢字の通用字体
漢,常用漢字の通用字体
慣,常用漢字の通用字体
管,常用漢字の通用字体
関,常用漢字の通用字体
歓,常用漢字の通用字体
監,常用漢字の通用字体
緩,常用漢字の通用字体
憾,常用漢字の通用字体
還,常用漢字の通用字体
館,常用漢字の通用字体
環,常用漢字の通用字体
簡,常用漢字の通用字体
観,常用漢字の通用字体
韓,常用漢字の通用字体
艦,常用漢字の通用字体
鑑,常用漢字の通用字体
丸,常用漢字の通用字体
含,常用漢字の通用字体
岸,常用漢字の通用字体
岩,常用漢字の通用字体
玩,常用漢字の通用字体
眼,常用漢字の通用字体
頑,常用漢字の通用字体
顔,常用漢字の通用字体
願,常用漢字の通用字体
企,常用漢字の通用字体
伎,常用漢字の通用字体
危,常用漢字の通用字体
机,常用漢字の通用字体
気,常用漢字の通用字体
岐,常用漢字の通用字体
希,常用漢字の通用字体
忌,常用漢字の通用字体
汽,常用漢字の通用字体
奇,常用漢字の通用字体
祈,常用漢字の通用字体
季,常用漢字の通用字体
紀,常用漢字の通用字体
軌,常用漢字の通用字体
既,常用漢字の通用字体
記,常用漢字の通用字体
起,常用漢字の通用字体
飢,常用漢字の通用字体
鬼,常用漢字の通用字体
帰,常用漢字の通用字体
基,常用漢字の通用字体
寄,常用漢字の通用字体
規,常用漢字の通用字体
亀,常用漢字の通用字体
喜,常用漢字の通用字体
幾,常用漢字の通用字体
揮,常用漢字の通用字体
期,常用漢字の通用字体
棋,常用漢字の通用字体
貴,常用漢字の通用字体
棄,常用漢字の通用字体
毀,常用漢字の通用字体
旗,常用漢字の通用字体
器,常用漢字の通用字体
畿,常用漢字の通用字体
輝,常用漢字の通用字体
機,常用漢字の通用字体
騎,常用漢字の通用字体
技,常用漢字の通用字体
宜,常用漢字の通用字体
偽,常用漢字の通用字体
欺,常用漢字の通用字体
義,常用漢字の通用字体
疑,常用漢字の通用字体
儀,常用漢字の通用字体
戯,常用漢字の通用字体
擬,常用漢字の通用字体
犠,常用漢字の通用字体
議,常用漢字の通用字体
菊,常用漢字の通用字体
吉,常用漢字の通用字体
喫,常用漢字の通用字体
詰,常用漢字の通用字体
却,常用漢字の通用字体
客,常用漢字の通用字体
脚,常用漢字の通用字体
逆,常用漢字の通用字体
虐,常用漢字の通用字体
九,常用漢字の通用字体
久,常用漢字の通用字体
及,常用漢字の通用字体
弓,常用漢字の通用字体
丘,常用漢字の通用字体
旧,常用漢字の通用字体
休,常用漢字の通用字体
吸,常用漢字の通用字体
朽,常用漢字の通用字体
臼,常用漢字の通用字体
求,常用漢字の通用字体
究,常用漢字の通用字体
泣,常用漢字の通用字体
急,常用漢字の通用字体
級,常用漢字の通用字体
糾,常用漢字の通用字体
宮,常用漢字の通用字体
救,常用漢字の通用字体
球,常用漢字の通用字体
給,常用漢字の通用字体
嗅,常用漢字の通用字体
窮,常用漢字の通用字体
牛,常用漢字の通用字体
去,常用漢字の通用字体
巨,常用漢字の通用字体
居,常用漢字の通用字体
拒,常用漢字の通用字体
拠,常用漢字の通用字体
挙,常用漢字の通用字体
虚,常用漢字の通用字体
許,常用漢字の通用字体
距,常用漢字の通用字体
魚,常用漢字の通用字体
御,常用漢字の通用字体
漁,常用漢字の通用字体
凶,常用漢字の通用字体
共,常用漢字の通用字体
叫,常用漢字の通用字体
狂,常用漢字の通用字体
京,常用漢字の通用字体
享,常用漢字の通用字体
供,常用漢字の通用字体
協,常用漢字の通用字体
況,常用漢字の通用字体
峡,常用漢字の通用字体
挟,常用漢字の通用字体
狭,常用漢字の通用字体
恐,常用漢字の通用字体
恭,常用漢字の通用字体
胸,常用漢字の通用字体
脅,常用漢字の通用字体
強,常用漢字の通用字体
教,常用漢字の通用字体
郷,常用漢字の通用字体
境,常用漢字の通用字体
橋,常用漢字の通用字体
矯,常用漢字の通用字体
鏡,常用漢字の通用字体
競,常用漢字の通用字体
響,常用漢字の通用字体
驚,常用漢字の通用字体
仰,常用漢字の通用字体
暁,常用漢字の通用字体
業,常用漢字の通用字体
凝,常用漢字の通用字体
曲,常用漢字の通用字体
局,常用漢字の通用字体
極,常用漢字の通用字体
玉,常用漢字の通用字体
巾,常用漢字の通用字体
斤,常用漢字の通用字体
均,常用漢字の通用字体
近,常用漢字の通用字体
金,常用漢字の通用字体
菌,常用漢字の通用字体
勤,常用漢字の通用字体
琴,常用漢字の通用字体
筋,常用漢字の通用字体
僅,常用漢字の通用字体
禁,常用漢字の通用字体
緊,常用漢字の通用字体
錦,常用漢字の通用字体
謹,常用漢字の通用字体
襟,常用漢字の通用字体
吟,常用漢字の通用字体
銀,常用漢字の通用字体
区,常用漢字の通用字体
句,常用漢字の通用字体
苦,常用漢字の通用字体
駆,常用漢字の通用字体
具,常用漢字の通用字体
惧,常用漢字の通用字体
愚,常用漢字の通用字体
空,常用漢字の通用字体
偶,常用漢字の通用字体
遇,常用漢字の通用字体
隅,常用漢字の通用字体
串,常用漢字の通用字体
屈,常用漢字の通用字体
掘,常用漢字の通用字体
窟,常用漢字の通用字体
熊,常用漢字の通用字体
繰,常用漢字の通用字体
君,常用漢字の通用字体
訓,常用漢字の通用字体
勲,常用漢字の通用字体
薫,常用漢字の通用字体
軍,常用漢字の通用字体
郡,常用漢字の通用字体
群,常用漢字の通用字体
兄,常用漢字の通用字体
刑,常用漢字の通用字体
形,常用漢字の通用字体
系,常用漢字の通用字体
径,常用漢字の通用字体
茎,常用漢字の通用字体
係,常用漢字の通用字体
型,常用漢字の通用字体
契,常用漢字の通用字体
計,常用漢字の通用字体
恵,常用漢字の通用字体
啓,常用漢字の通用字体
掲,常用漢字の通用字体
渓,常用漢字の通用字体
経,常用漢字の通用字体
蛍,常用漢字の通用字体
敬,常用漢字の通用字体
景,常用漢字の通用字体
軽,常用漢字の通用字体
傾,常用漢字の通用字体
携,常用漢字の通用字体
継,常用漢字の通用字体
詣,常用漢字の通用字体
慶,常用漢字の通用字体
憬,常用漢字の通用字体
稽,常用漢字の通用字体
憩,常用漢字の通用字体
警,常用漢字の通用字体
鶏,常用漢字の通用字体
芸,常用漢字の通用字体
迎,常用漢字の通用字体
鯨,常用漢字の通用字体
隙,常用漢字の通用字体
劇,常用漢字の通用字体
撃,常用漢字の通用字体
激,常用漢字の通用字体
桁,常用漢字の通用字体
欠,常用漢字の通用字体
穴,常用漢字の通用字体
血,常用漢字の通用字体
決,常用漢字の通用字体
結,常用漢字の通用字体
傑,常用漢字の通用字体
潔,常用漢字の通用字体
月,常用漢字の通用字体
犬,常用漢字の通用字体
件,常用漢字の通用字体
見,常用漢字の通用字体
券,常用漢字の通用字体
肩,常用漢字の通用字体
建,常用漢字の通用字体
研,常用漢字の通用字体
県,常用漢字の通用字体
倹,常用漢字の通用字体
兼,常用漢字の通用字体
剣,常用漢字の通用字体
拳,常用漢字の通用字体
軒,常用漢字の通用字体
健,常用漢字の通用字体
険,常用漢字の通用字体
圏,常用漢字の通用字体
堅,常用漢字の通用字体
検,常用漢字の通用字体
嫌,常用漢字の通用字体
献,常用漢字の通用字体
絹,常用漢字の通用字体
遣,常用漢字の通用字体
権,常用漢字の通用字体
憲,常用漢字の通用字体
賢,常用漢字の通用字体
謙,常用漢字の通用字体
鍵,常用漢字の通用字体
繭,常用漢字の通用字体
顕,常用漢字の通用字体
験,常用漢字の通用字体
懸,常用漢字の通用字体
元,常用漢字の通用字体
幻,常用漢字の通用字体
玄,常用漢字の通用字体
言,常用漢字の通用字体
弦,常用漢字の通用字体
限,常用漢字の通用字体
原,常用漢字の通用字体
現,常用漢字の通用字体
舷,常用漢字の通用字体
減,常用漢字の通用字体
源,常用漢字の通用字体
厳,常用漢字の通用字体
己,常用漢字の通用字体
戸,常用漢字の通用字体
古,常用漢字の通用字体
呼,常用漢字の通用字体
固,常用漢字の通用字体
股,常用漢字の通用字体
虎,常用漢字の通用字体
孤,常用漢字の通用字体
弧,常用漢字の通用字体
故,常用漢字の通用字体
枯,常用漢字の通用字体
個,常用漢字の通用字体
庫,常用漢字の通用字体
湖,常用漢字の通用字体
雇,常用漢字の通用字体
誇,常用漢字の通用字体
鼓,常用漢字の通用字体
錮,常用漢字の通用字体
顧,常用漢字の通用字体
五,常用漢字の通用字体
互,常用漢字の通用字体
午,常用漢字の通用字体
呉,常用漢字の通用字体
後,常用漢字の通用字体
娯,常用漢字の通用字体
悟,常用漢字の通用字体
碁,常用漢字の通用字体
語,常用漢字の通用字体
誤,常用漢字の通用字体
護,常用漢字の通用字体
口,常用漢字の通用字体
工,常用漢字の通用字体
公,常用漢字の通用字体
勾,常用漢字の通用字体
孔,常用漢字の通用字体
功,常用漢字の通用字体
巧,常用漢字の通用字体
広,常用漢字の通用字体
甲,常用漢字の通用字体
交,常用漢字の通用字体
光,常用漢字の通用字体
向,常用漢字の通用字体
后,常用漢字の通用字体
好,常用漢字の通用字体
江,常用漢字の通用字体
考,常用漢字の通用字体
行,常用漢字の通用字体
坑,常用漢字の通用字体
孝,常用漢字の通用字体
抗,常用漢字の通用字体
攻,常用漢字の通用字体
更,常用漢字の通用字体
効,常用漢字の通用字体
幸,常用漢字の通用字体
拘,常用漢字の通用字体
肯,常用漢字の通用字体
侯,常用漢字の通用字体
厚,常用漢字の通用字体
恒,常用漢字の通用字体
洪,常用漢字の通用字体
皇,常用漢字の通用字体
紅,常用漢字の通用字体
荒,常用漢字の通用字体
郊,常用漢字の通用字体
香,常用漢字の通用字体
候,常用漢字の通用字体
校,常用漢字の通用字体
耕,常用漢字の通用字体
航,常用漢字の通用字体
貢,常用漢字の通用字体
降,常用漢字の通用字体
高,常用漢字の通用字体
康,常用漢字の通用字体
控,常用漢字の通用字体
梗,常用漢字の通用字体
黄,常用漢字の通用字体
喉,常用漢字の通用字体
慌,常用漢字の通用字体
港,常用漢字の通用字体
硬,常用漢字の通用字体
絞,常用漢字の通用字体
項,常用漢字の通用字体
溝,常用漢字の通用字体
鉱,常用漢字の通用字体
構,常用漢字の通用字体
綱,常用漢字の通用字体
酵,常用漢字の通用字体
稿,常用漢字の通用字体
興,常用漢字の通用字体
衡,常用漢字の通用字体
鋼,常用漢字の通用字体
講,常用漢字の通用字体
購,常用漢字の通用字体
乞,常用漢字の通用字体
号,常用漢字の通用字体
合,常用漢字の通用字体
拷,常用漢字の通用字体
剛,常用漢字の通用字体
傲,常用漢字の通用字体
豪,常用漢字の通用字体
克,常用漢字の通用字体
告,常用漢字の通用字体
谷,常用漢字の通用字体
刻,常用漢字の通用字体
国,常用漢字の通用字体
黒,常用漢字の通用字体
穀,常用漢字の通用字体
酷,常用漢字の通用字体
獄,常用漢字の通用字体
骨,常用漢字の通用字体
駒,常用漢字の通用字体
込,常用漢字の通用字体
頃,常用漢字の通用字体
今,常用漢字の通用字体
困,常用漢字の通用字体
昆,常用漢字の通用字体
恨,常用漢字の通用字体
根,常用漢字の通用字体
婚,常用漢字の通用字体
混,常用漢字の通用字体
痕,常用漢字の通用字体
紺,常用漢字の通用字体
魂,常用漢字の通用字体
墾,常用漢字の通用字体
懇,常用漢字の通用字体
左,常用漢字の通用字体
佐,常用漢字の通用字体
沙,常用漢字の通用字体
査,常用漢字の通用字体
砂,常用漢字の通用字体
唆,常用漢字の通用字体
差,常用漢字の通用字体
詐,常用漢字の通用字体
鎖,常用漢字の通用字体
座,常用漢字の通用字体
挫,常用漢字の通用字体
才,常用漢字の通用字体
再,常用漢字の通用字体
災,常用漢字の通用字体
妻,常用漢字の通用字体
采,常用漢字の通用字体
砕,常用漢字の通用字体
宰,常用漢字の通用字体
栽,常用漢字の通用字体
彩,常用漢字の通用字体
採,常用漢字の通用字体
済,常用漢字の通用字体
祭,常用漢字の通用字体
斎,常用漢字の通用字体
細,常用漢字の通用字体
菜,常用漢字の通用字体
最,常用漢字の通用字体
裁,常用漢字の通用字体
債,常用漢字の通用字体
催,常用漢字の通用字体
塞,常用漢字の通用字体
歳,常用漢字の通用字体
載,常用漢字の通用字体
際,常用漢字の通用字体
埼,常用漢字の通用字体
在,常用漢字の通用字体
材,常用漢字の通用字体
剤,常用漢字の通用字体
財,常用漢字の通用字体
罪,常用漢字の通用字体
崎,常用漢字の通用字体
作,常用漢字の通用字体
削,常用漢字の通用字体
昨,常用漢字の通用字体
柵,常用漢字の通用字体
索,常用漢字の通用字体
策,常用漢字の通用字体
酢,常用漢字の通用字体
搾,常用漢字の通用字体
錯,常用漢字の通用字体
咲,常用漢字の通用字体
冊,常用漢字の通用字体
札,常用漢字の通用字体
刷,常用漢字の通用字体
刹,常用漢字の通用字体
拶,常用漢字の通用字体
殺,常用漢字の通用字体
察,常用漢字の通用字体
撮,常用漢字の通用字体
擦,常用漢字の通用字体
雑,常用漢字の通用字体
皿,常用漢字の通用字体
三,常用漢字の通用字体
山,常用漢字の通用字体
参,常用漢字の通用字体
桟,常用漢字の通用字体
蚕,常用漢字の通用字体
惨,常用漢字の通用字体
産,常用漢字の通用字体
傘,常用漢字の通用字体
散,常用漢字の通用字体
算,常用漢字の通用字体
酸,常用漢字の通用字体
賛,常用漢字の通用字体
残,常用漢字の通用字体
斬,常用漢字の通用字体
暫,常用漢字の通用字体
士,常用漢字の通用字体
子,常用漢字の通用字体
支,常用漢字の通用字体
止,常用漢字の通用字体
氏,常用漢字の通用字体
仕,常用漢字の通用字体
史,常用漢字の通用字体
司,常用漢字の通用字体
四,常用漢字の通用字体
市,常用漢字の通用字体
矢,常用漢字の通用字体
旨,常用漢字の通用字体
死,常用漢字の通用字体
糸,常用漢字の通用字体
至,常用漢字の通用字体
伺,常用漢字の通用字体
志,常用漢字の通用字体
私,常用漢字の通用字体
使,常用漢字の通用字体
刺,常用漢字の通用字体
始,常用漢字の通用字体
姉,常用漢字の通用字体
枝,常用漢字の通用字体
祉,常用漢字の通用字体
肢,常用漢字の通用字体
姿,常用漢字の通用字体
思,常用漢字の通用字体
指,常用漢字の通用字体
施,常用漢字の通用字体
師,常用漢字の通用字体
恣,常用漢字の通用字体
紙,常用漢字の通用字体
脂,常用漢字の通用字体
視,常用漢字の通用字体
紫,常用漢字の通用字体
詞,常用漢字の通用字体
歯,常用漢字の通用字体
嗣,常用漢字の通用字体
試,常用漢字の通用字体
詩,常用漢字の通用字体
資,常用漢字の通用字体
飼,常用漢字の通用字体
誌,常用漢字の通用字体
雌,常用漢字の通用字体
摯,常用漢字の通用字体
賜,常用漢字の通用字体
諮,常用漢字の通用字体
示,常用漢字の通用字体
字,常用漢字の通用字体
寺,常用漢字の通用字体
次,常用漢字の通用字体
耳,常用漢字の通用字体
自,常用漢字の通用字体
似,常用漢字の通用字体
児,常用漢字の通用字体
事,常用漢字の通用字体
侍,常用漢字の通用字体
治,常用漢字の通用字体
持,常用漢字の通用字体
時,常用漢字の通用字体
滋,常用漢字の通用字体
慈,常用漢字の通用字体
辞,常用漢字の通用字体
磁,常用漢字の通用字体
餌,常用漢字の通用字体
璽,常用漢字の通用字体
鹿,常用漢字の通用字体
式,常用漢字の通用字体
識,常用漢字の通用字体
軸,常用漢字の通用字体
七,常用漢字の通用字体
叱,常用漢字の通用字体
失,常用漢字の通用字体
室,常用漢字の通用字体
疾,常用漢字の通用字体
執,常用漢字の通用字体
湿,常用漢字の通用字体
嫉,常用漢字の通用字体
漆,常用漢字の通用字体
質,常用漢字の通用字体
実,常用漢字の通用字体
芝,常用漢字の通用字体
写,常用漢字の通用字体
社,常用漢字の通用字体
車,常用漢字の通用字体
舎,常用漢字の通用字体
者,常用漢字の通用字体
射,常用漢字の通用字体
捨,常用漢字の通用字体
赦,常用漢字の通用字体
斜,常用漢字の通用字体
煮,常用漢字の通用字体
遮,常用漢字の通用字体
謝,常用漢字の通用字体
邪,常用漢字の通用字体
蛇,常用漢字の通用字体
尺,常用漢字の通用字体
借,常用漢字の通用字体
酌,常用漢字の通用字体
釈,常用漢字の通用字体
爵,常用漢字の通用字体
若,常用漢字の通用字体
弱,常用漢字の通用字体
寂,常用漢字の通用字体
手,常用漢字の通用字体
主,常用漢字の通用字体
守,常用漢字の通用字体
朱,常用漢字の通用字体
取,常用漢字の通用字体
狩,常用漢字の通用字体
首,常用漢字の通用字体
殊,常用漢字の通用字体
珠,常用漢字の通用字体
酒,常用漢字の通用字体
腫,常用漢字の通用字体
種,常用漢字の通用字体
趣,常用漢字の通用字体
寿,常用漢字の通用字体
受,常用漢字の通用字体
呪,常用漢字の通用字体
授,常用漢字の通用字体
需,常用漢字の通用字体
儒,常用漢字の通用字体
樹,常用漢字の通用字体
収,常用漢字の通用字体
囚,常用漢字の通用字体
州,常用漢字の通用字体
舟,常用漢字の通用字体
秀,常用漢字の通用字体
周,常用漢字の通用字体
宗,常用漢字の通用字体
拾,常用漢字の通用字体
秋,常用漢字の通用字体
臭,常用漢字の通用字体
修,常用漢字の通用字体
袖,常用漢字の通用字体
終,常用漢字の通用字体
羞,常用漢字の通用字体
習,常用漢字の通用字体
週,常用漢字の通用字体
就,常用漢字の通用字体
衆,常用漢字の通用字体
集,常用漢字の通用字体
愁,常用漢字の通用字体
酬,常用漢字の通用字体
醜,常用漢字の通用字体
蹴,常用漢字の通用字体
襲,常用漢字の通用字体
十,常用漢字の通用字体
汁,常用漢字の通用字体
充,常用漢字の通用字体
住,常用漢字の通用字体
柔,常用漢字の通用字体
重,常用漢字の通用字体
従,常用漢字の通用字体
渋,常用漢字の通用字体
銃,常用漢字の通用字体
獣,常用漢字の通用字体
縦,常用漢字の通用字体
叔,常用漢字の通用字体
祝,常用漢字の通用字体
宿,常用漢字の通用字体
淑,常用漢字の通用字体
粛,常用漢字の通用字体
縮,常用漢字の通用字体
塾,常用漢字の通用字体
熟,常用漢字の通用字体
出,常用漢字の通用字体
述,常用漢字の通用字体
術,常用漢字の通用字体
俊,常用漢字の通用字体
春,常用漢字の通用字体
瞬,常用漢字の通用字体
旬,常用漢字の通用字体
巡,常用漢字の通用字体
盾,常用漢字の通用字体
准,常用漢字の通用字体
殉,常用漢字の通用字体
純,常用漢字の通用字体
循,常用漢字の通用字体
順,常用漢字の通用字体
準,常用漢字の通用字体
潤,常用漢字の通用字体
遵,常用漢字の通用字体
処,常用漢字の通用字体
初,常用漢字の通用字体
所,常用漢字の通用字体
書,常用漢字の通用字体
庶,常用漢字の通用字体
暑,常用漢字の通用字体
署,常用漢字の通用字体
緒,常用漢字の通用字体
諸,常用漢字の通用字体
女,常用漢字の通用字体
如,常用漢字の通用字体
助,常用漢字の通用字体
序,常用漢字の通用字体
叙,常用漢字の通用字体
徐,常用漢字の通用字体
除,常用漢字の通用字体
小,常用漢字の通用字体
升,常用漢字の通用字体
少,常用漢字の通用字体
召,常用漢字の通用字体
匠,常用漢字の通用字体
床,常用漢字の通用字体
抄,常用漢字の通用字体
肖,常用漢字の通用字体
尚,常用漢字の通用字体
招,常用漢字の通用字体
承,常用漢字の通用字体
昇,常用漢字の通用字体
松,常用漢字の通用字体
沼,常用漢字の通用字体
昭,常用漢字の通用字体
宵,常用漢字の通用字体
将,常用漢字の通用字体
消,常用漢字の通用字体
症,常用漢字の通用字体
祥,常用漢字の通用字体
称,常用漢字の通用字体
笑,常用漢字の通用字体
唱,常用漢字の通用字体
商,常用漢字の通用字体
渉,常用漢字の通用字体
章,常用漢字の通用字体
紹,常用漢字の通用字体
訟,常用漢字の通用字体
勝,常用漢字の通用字体
掌,常用漢字の通用字体
晶,常用漢字の通用字体
焼,常用漢字の通用字体
焦,常用漢字の通用字体
硝,常用漢字の通用字体
粧,常用漢字の通用字体
詔,常用漢字の通用字体
証,常用漢字の通用字体
象,常用漢字の通用字体
傷,常用漢字の通用字体
奨,常用漢字の通用字体
照,常用漢字の通用字体
詳,常用漢字の通用字体
彰,常用漢字の通用字体
障,常用漢字の通用字体
憧,常用漢字の通用字体
衝,常用漢字の通用字体
賞,常用漢字の通用字体
償,常用漢字の通用字体
礁,常用漢字の通用字体
鐘,常用漢字の通用字体
上,常用漢字の通用字体
丈,常用漢字の通用字体
冗,常用漢字の通用字体
条,常用漢字の通用字体
状,常用漢字の通用字体
乗,常用漢字の通用字体
城,常用漢字の通用字体
浄,常用漢字の通用字体
剰,常用漢字の通用字体
常,常用漢字の通用字体
情,常用漢字の通用字体
場,常用漢字の通用字体
畳,常用漢字の通用字体
蒸,常用漢字の通用字体
縄,常用漢字の通用字体
壌,常用漢字の通用字体
嬢,常用漢字の通用字体
